Jahr	Stadt Basel	Mittelwert Vergleichsstädte	Bewertung	Veränderung Stadt Basel	Veränderung Mittelwert Vergleichsstädte	Bern	Winterthur	Zürich	Biel
2012	6.4	6.5				5.3	4.6	4.7	11.4
2013	6.5	6.7		0.1	0.2	5.3	4.9	4.7	11.7
2014	6.3	6.6		-0.2	0.0	5.4	5	4.6	11.5
2015	6.3	6.7		0.0	0.0	5.2	5.3	4.5	11.6
2016	6.7	6.8		0.4	0.1	5.1	5.5	4.6	11.8
2017	6.6	6.7		-0.1	0.0	5.0	5.6	4.8	11.5
2018	6.6	6.6		0.0	-0.2	5.0	5.6	4.6	11
2019	6.4	6.4		-0.2	-0.1	5.0	5.5	4.5	10.7
2020	6.1	6.4	0	-0.3	0.0	5.1	5.5	4.5	10.5
2021	5.7	6.3	0	-0.4	-0.1	5.1	5.5	4.3	10.2
2022	5.3	6.0	0	-0.4	-0.3	4.9	5	4.1	9.9
2023	5.1	5.6	0	-0.2	-0.4	4.6	4.8	3.8	9.3
2024	5.0	5.7	0	-0.1	0.1	5.0	5.2	3.5	9.1

