Jahr	Sport und Freizeit	Kirchen, rel. Angelegenheiten	Kulturerbe	Kultur, übrige	Sport und Freizeit CHF	Kirchen, rel. Angelegenheiten CHF	Kulturerbe CHF	Kultur, übrige DHF	Bevölkerung
2008	504.2	0	426.1	373.1	95339519.4	0	80568273.7	70541222.5	189080
2009	344.3	0	478.1	347.9	65657923.3	0	91170539.8	66344510.3	190682
2010	366.1	0	493.3	344.9	70273809.4	0	94692502.8	66193851.3	191946
2011	397	0	506.8	355.2	76291751.6	0	97386569	68261547.8	192174
2012	423.9	4.4	572.6	372.5	81769392.2	840818.6	110452201.6	71847004	192900
2013	403.3	4.5	515	370.4	78494943.6	870000	100246110.6	72092110	194655
2014	427.8	3.8	600.6	425.6	83893633.3	735331.6	117776740.4	83462203.9	196086
2015	481.1	0	655.5	542.1	94781166.3	0	129130108.1	106802242.5	197005
2016	566.3	2.2	515.7	464.8	112085468.7	440000	102075348.9	91989692.3	197926
2017	656.8	4	432.5	441.9	130421977.7	790000	85880150.3	87738160.2	198562.5833
