Jahr	Siedlungsabfälle (Hauskehricht und Sperrgut)	Wertstoffsammlungen	Recyclingquote (rechte Skala)	
2000	193.57068604326	139.661859456379	40.6
2001	190.185160587626	137.061870732938	40.6
2002	192.342026398011	134.317945121044	39.5
2003	183.709533709534	133.270927913785	40.4
2004	184.120426280218	137.059047861184	40.8
2005	180.234228027874	143.393126838187	42.2
2006	178.794954388907	145.197701137226	42.4
2007	177.196652719665	146.014485058301	42.6
2008	171.672836894436	155.976306325365	45.2
2009	186.133982232198	150.17935620562	42.0
2010	176.790868265033	149.208631594303	42.9
2011	164.780355303007	145.49783009148	43.9
2012	168.526179367548	153.162778641783	44.7
2013	163.476406976446	144.443759471886	44.0
2014	165.547871852147	143.467152167926	43.5
2015	168.483744067409	140.48222126342	44.0
2016	161.483988965573	137.545850469367	44.9
2017	158.45933028812	131.453996968217	42.3
2018	163.214339320558	124.386851453445	40.1
2019	155.909764827452	126.267021430604	40.6
2020	158.851667518496	126.068467252527	41.1


