"Jahr"	"Stammholz "	"Industrieholz"	"Energieholz"	"Übrige"
2004	53494	18488	41742	0
2005	50587	19676	48222	0
2006	51939	19700	49704	0
2007	56884	29274	43700	102
2008	54004	24657	53889	280
2009	43999	16730	74813	75
2010	39812	18799	77608	27
2011	43237	19947	78236	6
2012	42377	17757	82869	9
2013	29668	18441	82221	32
2014	37381	17666	77261	132
2015	35512	17520	70242	3
2016	37390	13217	72720	39
2017	36718	12200	78406	0
2018	36817	13640	76701	0
2019	34185	13081	80726	0
2020	34818	14880	75863	0
2021	36896	15419	77517	0
