"Jahr"	"Beschäftigte pro ha"	"Beschäftigte in VZÄ"	"Fläche Kanton in ha"
2011	39.369478	145498.1732544	3695.71
2012	39.53292	146102.2069023	3695.71
2013	40.294259	148915.8945132	3695.71
2014	40.822036	150866.4083507	3695.71
2015	40.613944	150097.3574387	3695.71
2016	41.778331	149964.5740437	3589.53
2017	41.62336	149408.3009939	3589.53
2018	41.728568	149785.9456578	3589.53
2019	42.474347	152462.9443695	3589.53
2020	41.407473	148633.3647983	3589.53
2021	42.189012	151438.7234096	3589.53
2022	43.52405	156230.8822820	3589.53
2023	43.364253	155657.2854016	3589.53

