Wohnviertelid	Wohnviertel_Name	2020	Arbeitsanteil
1	Altstadt GB	519483	77.22
2	Vorstädte	928329	73.23
3	Am Ring	517556	44.23
4	Breite	92897	17.63
5	St. Alban	1202464	59.58
6	Gundeldingen	629986	35.45
7	Bruderholz	58457	12.14
8	Bachletten	110886	14.60
9	Gotthelf	98852	22.11
10	Iselin	163541	19.88
11	St. Johann	1178768	55.15
12	Altstadt KB	250620	64.99
13	Clara	135777	46.57
14	Wettstein	526004	57.70
15	Hirzbrunnen	216817	31.99
16	Rosental	581619	60.88
17	Matthäus	147139	20.33
18	Klybeck	825593	66.30
19	Kleinhüningen	276237	76.72
20	Riehen	207379	18.75
30	Bettingen	29759	34.46
