Jahr	Bevölkerung	Bevölkerung indexiert	Beschäftigte	Beschäftigte indexiert
2014	196471	100	191155	100
2015	197204	100.37308305042474	190333	99.56998247495488
2016	198206	100.8830819815647	190301	99.55324213334728
2017	198988	101.28110509948034	190523	99.66937825324999
2018	200256	101.92649296842791	190462	99.6374669770605
2019	200407	102.00334909477735	192450	100.6774606994324
2020	201971	102.79939533060858	188778	98.75650649996076
2021	201805	102.71490448972114	193002	100.96623159216342
2022	204550	104.11205725017942	199737	104.48955036488714
2023	206308	105.00684579403577	199745	104.49373545028904
2024	207515	105.62118582386204	201823	105.58081138343229
