"WV"	"Deutschland"	"Frankreich"	"Spanien"	"Italien"	"USA"	"Übriges Ausland"
"Altstadt Grossbasel"	29.30	7.64	4.46	7.01	9.55	42.04
"Vorstädte"	32.38	8.02	6.30	4.58	3.72	44.99
"Am Ring"	30.10	6.06	4.84	6.75	5.88	46.37
"Breite"	37.59	4.89	7.89	5.26	6.02	38.35
"St. Alban"	23.89	6.77	5.50	2.96	7.82	53.07
"Gundeldingen"	32.39	5.66	6.56	5.66	3.60	46.14
"Bruderholz"	41.13	13.48	4.96	2.84	4.96	32.62
"Bachletten"	40.53	6.82	6.44	3.41	2.65	40.15
"Gotthelf"	20.85	9.00	6.16	3.79	8.53	51.66
"Iselin"	27.97	8.74	8.92	7.17	2.62	44.58
"St. Johann"	32.06	8.71	7.92	5.15	5.01	41.16
"Altstadt Kleinbasel"	30.57	5.24	7.86	6.55	3.49	46.29
"Clara"	35.42	5.54	5.90	3.69	1.11	48.34
"Wettstein"	32.12	7.28	4.64	3.97	4.64	47.35
"Hirzbrunnen"	54.46	4.91	4.02	3.57	0.45	32.59
"Rosental"	22.34	5.75	6.09	3.89	5.08	56.85
"Matthäus"	33.75	5.04	10.50	5.88	1.96	42.86
"Klybeck"	26.27	5.30	6.84	3.09	0.88	57.62
"Kleinhüningen"	39.38	5.00	5.00	3.13	1.25	46.25
"Riehen"	59.16	4.46	0.50	3.47	2.48	29.95
"Bettingen"	64.29	14.29	0	0	0	21.43
"Kanton BS"	32.90	6.56	6.46	4.82	3.96	45.29

