"WohnviertelId"	"Wohnviertel"	"Saldo"
1	"Altstadt Grossbasel"	-1.3744
2	"Vorstädte"	2.7598
3	"Am Ring"	1.1452
4	"Breite"	-0.1606
5	"St. Alban"	1.3631
6	"Gundeldingen"	0.9584
7	"Bruderholz"	0.8657
8	"Bachletten"	0.9542
9	"Gotthelf"	2.4256
10	"Iselin"	0.1044
11	"St. Johann"	1.1626
12	"Altstadt Kleinbasel"	3.5897
13	"Clara"	2.5072
14	"Wettstein"	1.0498
15	"Hirzbrunnen"	3.3187
16	"Rosental"	0.7221
17	"Matthäus"	0.4705
18	"Klybeck"	2.0419
19	"Kleinhüningen"	3.8036
20	"Riehen"	1.4507
30	"Bettingen"	0.6098

