"WohnviertelId"	"Wohnviertel"	"Anzahl Zugezogene pro 100 Einwohner"	"Kuchengrösse"	"Anteil Zugezogene nach Zuzugsland: Schweiz"	"Anteil Zugezogene nach Zuzugsland: Ausland"
1	"Altstadt Grossbasel"	11.8	0.1	33.3	66.7
2	"Vorstädte"	14.8	0.1	26.3	73.7
3	"Am Ring"	10.9	0.1	33.7	66.3
4	"Breite"	7.4	0.1	46.6	53.4
5	"St. Alban"	8.2	0.1	38.3	61.7
6	"Gundeldingen"	8.7	0.1	48.8	51.2
7	"Bruderholz"	4.5	0.1	43.0	57.0
8	"Bachletten"	5.7	0.1	42.3	57.7
9	"Gotthelf"	6.6	0.1	43.5	56.5
10	"Iselin"	6.5	0.1	44.1	55.9
11	"St. Johann"	7.9	0.1	34.2	65.8
12	"Altstadt Kleinbasel"	9.8	0.1	46.0	54.0
13	"Clara"	10.0	0.1	33.9	66.1
14	"Wettstein"	9.6	0.1	32.1	67.9
15	"Hirzbrunnen"	3.7	0.1	40.2	59.8
16	"Rosental"	11.7	0.1	29.2	70.8
17	"Matthäus"	9.0	0.1	34.1	65.9
18	"Klybeck"	7.8	0.1	33.8	66.2
19	"Kleinhüningen"	8.3	0.1	25.5	74.5
20	"Riehen"	4.1	0.1	39.3	60.7
30	"Bettingen"	6.2	0.1	47.6	52.4

