jahr	Befestigte Fläche und Gebäude	Gewässer	Grünfläche	Gesamtfläche	Befestigte Fläche und Gebäude (%)	Gewässer (%)	Grünfläche (%)
2003	1709.64	134.25	1851.44	3695.34	46.26	3.63	50.1
2004	1710.23	132.96	1852.15	3695.34	46.28	3.6	50.12
2005	1702.52	133.35	1859.34	3695.22	46.07	3.61	50.32
2006	1699.72	133.46	1862.04	3695.22	46	3.61	50.39
2007	1698.45	133.4	1863.38	3695.23	45.96	3.61	50.43
2008	1701.69	133.57	1860.08	3695.34	46.05	3.61	50.34
2009	1701.43	133.51	1860.39	3695.34	46.04	3.61	50.34
2010	1700.44	133.51	1861.38	3695.33	46.02	3.61	50.37
2011	1698.76	133.72	1862.86	3695.34	45.97	3.62	50.41
2012	1698.08	133.68	1863.58	3695.34	45.95	3.62	50.43
2013	1690.46	133.74	1871.13	3695.33	45.75	3.62	50.63
2014	1688.79	133.77	1872.84	3695.39	45.7	3.62	50.68
2015	1691.19	133.79	1870.42	3695.39	45.76	3.62	50.61
2016	1688.46	133.77	1873.17	3695.39	45.69	3.62	50.69
2017	1675.72	133.92	1885.76	3695.39	45.35	3.62	51.03
