"Jahr"	"Reales BIP pro Kopf Basel-Stadt (indexiert, 1995 = 100)"	"Ökologischer Fussabdruck Schweiz (indexiert, 1995 = 100)"	"BIP pro Kopf Kanton Basel-Stadt (2010 = 100)"	"Ökologischer Fussabdruck Schweiz"
1995	100.00	100.00	54.829235806	5.67302170945853
1996	103.37	99.16	56.678706829	5.62536364309231
1997	106.35	98.07	58.312802423	5.56365895312624
1998	112.08	98.08	61.451342853	5.56424940051342
1999	114.07	99.93	62.544760167	5.66893048663129
2000	120.99	102.77	66.337377086	5.83037804482736
2001	126.58	99.57	69.403554182	5.64877730533797
2002	132.72	96.33	72.768955722	5.46490890457182
2003	135.58	94.14	74.340063375	5.34055938631238
2004	141.21	95.44	77.424458251	5.41441935041249
2005	146.08	99.82	80.093943878	5.66287541212506
2006	155.29	100.47	85.144170701	5.69992493561984
2007	161.72	103.86	88.66896165	5.89204713408783
2008	165.51	103.31	90.74817211	5.86055488719698
2009	157.37	94.00	86.286563241	5.33243540673906
2010	160.97	95.29	88.260607185	5.40601499365197
2011	171.29	95.54	93.916838968	5.41990373541811
2012	168.77	89.11	92.535786655	5.05523342897795
2013	171.18	86.60	93.857087251	4.91294837121049
2014	176.64	80.91	96.848184977	4.58979386946083
2015	182.38	77.51	100	4.39688183122587
2016	196.89	74.39	107.95211075	4.22031821688372
2017	206.82	74.95	113.39734706	4.2520669783769
2018	211.29	72.74	115.8494758	4.12675658802352
2019	216.43	70.16	118.66455281	3.98028671175665
2020	210.67	65.60	115.50678168	3.72165887041802
2021	217.90	66.67	119.47261271	3.78247083945925
2022		65.85		3.73596406483784
