""	"Total"	"15-24 Jahre"	"50 Jahre und mehr"
"1993"	0.055474	0.060322	0.035554
"1994"	0.057415	0.061597	0.040167
"1995"	0.049170	0.050302	0.034192
"1996"	0.046603	0.047672	0.030686
"1997"	0.049123	0.053929	0.032827
"1998"	0.037414	0.036291	0.026557
"1999"	0.024696	0.024485	0.017722
"2000"	0.021014	0.025388	0.015117
"2001"	0.021615	0.026925	0.014707
"2002"	0.030024	0.041457	0.020212
"2003"	0.042614	0.062756	0.026930
"2004"	0.045756	0.069096	0.031453
"2005"	0.040622	0.061438	0.030028
"2006"	0.037320	0.053328	0.028681
"2007"	0.032383	0.040970	0.026987
"2008"	0.029958	0.035646	0.025871
"2009"	0.037971	0.047509	0.030116
"2010"	0.041761	0.062240	0.030710
"2011"	0.036521	0.051462	0.028444
"2012"	0.036525	0.045042	0.028340
"2013"	0.037258	0.046156	0.029413
"2014"	0.033927	0.044461	0.028036
"2015"	0.036527	0.045338	0.029300
"2016"	0.038668	0.044922	0.031327
"2017"	0.036038	0.044949	0.027861
"2018"	0.032516	0.038518	0.025099
"2019"	0.029783	0.032398	0.025129
"2020"	0.039236	0.049769	0.032028
"2021"	0.038613	0.040401	0.035372
"2022"	0.030487	0.030711	0.029066
"2023"	0.029948	0.032442	0.026763
"2024"	0.037313	0.038415	0.031594

