"Jahr"	"Deutschland"	"Italien"	"Türkei"	"EU-17 + EFTA"	"EU-Ost"	"Balkan"	"Mittel- und Südamerika"	"Arabische Länder"	"Afrikanische Länder"	"Übrige Länder"
"1998"	12.1	37.1	27.8	21.1	7.4	18.0	2.9	13.3	8.4	13.9
"1999"	12.0	37.4	28.9	21.3	7.3	18.8	3.4	12.9	9.9	14.3
"2000"	11.8	37.1	29.1	21.3	6.5	20.6	3.5	14.1	9.7	14.8
"2001"	11.4	36.9	29.2	20.8	6.4	20.9	3.7	14.3	8.7	14.5
"2002"	10.7	36.3	29.1	19.4	6.2	21.8	3.7	13.1	9.0	13.8
"2003"	10.0	35.8	28.6	19.1	6.7	22.7	4.6	13.5	9.5	13.1
"2004"	9.7	35.7	28.3	18.8	6.6	23.3	4.9	14.7	9.5	12.4
"2005"	9.3	35.5	28.4	18.4	6.3	23.9	4.9	15.8	9.2	12.6
"2006"	8.9	35.1	28.6	17.5	5.3	24.3	5.6	14.8	9.9	12.2
"2007"	8.2	34.4	27.7	17.1	4.7	24.2	5.6	16.0	9.9	11.1
"2008"	8.2	33.7	27.3	16.7	5.2	23.8	6.2	14.7	9.2	10.1
"2009"	8.2	33.4	27.0	16.3	5.3	24.3	5.8	14.8	10.0	9.8
"2010"	8.7	33.2	26.9	16.7	6.3	24.6	6.2	15.9	10.9	9.9
"2011"	8.9	32.7	27.4	16.5	6.3	25.1	6.5	16.3	11.0	9.7
"2012"	9.4	32.2	27.4	16.1	6.6	25.4	6.3	16.5	12.0	9.4
"2013"	9.5	31.3	27.4	15.5	6.5	25.7	6.6	16.5	13.4	9.5
"2014"	10.0	30.4	27.3	15.3	6.6	25.9	6.9	14.8	14.8	10.0
"2015"	10.2	29.5	27.2	15.2	6.7	25.7	7.4	13.2	15.7	10.0
"2016"	10.8	28.6	27.1	15.2	7.0	26.2	6.9	13.8	17.0	10.3
"2017"	10.9	28.0	26.8	15.4	7.0	26.0	6.7	14.6	18.3	10.2

