"Staatsangehörigkeit"	"Sekundarstufe I"	"Sekundarstufe II"	"Tertiärstufe"
"Schweiz"	17018.517961	42422.016335	44766.865703
"Deutschland"	899.47530967	3109.2724613	9682.0653847
"Italien"	2934.5996629	1921.2873669	2272.8289405
"Türkei"	3106.2393809	1259.7190642	658.79186763
"EU-West + EFTA + UK"	3315.4494171	2094.2733958	7722.4755737
"EU-Ost"	618.54438991	1516.3395982	2335.5590526
"Balkan"	2814.7410882	2011.4499928	783.31340011
"Mittel- und Südamerika"	533.47658525	313.99675186	708.46050888
"Arabische Länder"	465.71830819	370.38947462	387.77530099
"Afrikanische Länder"	736.04969718	386.50373879	304.66098168
"Übrige Länder"	1360.4136539	808.35214692	4067.1775046

