jahr	Basel-Stadt	Genf	Zürich	BIP BS CHF	BIP GE CHF	BIP ZH CHF	Einwohner BS	Einwohner_GE	Einwohner ZH
1995	93821.203779857	76052.0507660981	72575.5690693045	18487814516.0813	29789489131.5425	84809499836.3841	197053.691183299	391698.696241099	1168568.16865462
1996	93068.679242114	76723.4791086233	74378.6446921731	18219044478.4695	30341453489.2375	87429183587.944	195759.138593484	395465.036801587	1175460.83220234
1997	92590.3011566648	79484.4027117425	77166.4416097952	18047058466.4162	31363501834.0536	90967685383.8942	194913.055049688	394586.871940099	1178850.33294508
1998	96335.0240159099	81355.5420631384	80266.2359454549	18597794219.1602	32270356991.3277	94843534069.2886	193053.299245441	396658.373516623	1181611.83157685
1999	99544.1650747325	82260.1102817876	82163.9734026966	18963666491.7874	32814364268.5848	97578783848.9262	190505.053486063	398909.801557243	1187610.33343263
2000	108576.356537937	86037.6702758558	87343.6972357173	20462085856.4888	34678843366.9056	104687549807.919	188458.026304642	403065.81123963	1198570.16729433
2001	116815.71767466	84685.5971511153	86898.6064569729	21921847137.2485	34609759029.2389	105290652667.21	187661.793923163	408685.304154853	1211649.49543056
2002	122710.759312635	83510.051106218	84688.7560311761	22881721041.8498	34541291393.0618	103907032228.89	186468.743002015	413618.372106228	1226928.3090029
2003	127881.838665738	83666.3909726569	84968.7908796952	23877985357.642	35035047852.0324	105472681911.636	186719.127647633	418746.971690009	1241310.84860289
2004	134976.277574673	86022.623492153	86207.3105831395	25193769145.4881	36473123186.2297	107749728583.053	186653.31122019	423994.545917991	1249890.84863212
2005	141015.205421901	90163.6599283161	88354.7722449405	26334987797.4107	38535438109.5984	111486829920.632	186752.823701667	427394.342024666	1261808.80882771
2006	151248.971858344	96169.0463685445	93686.4194918358	28071861741.5145	41414182809.3981	119224448532.196	185600.347536946	430639.424775913	1272590.51182531
2007	161689.164240185	103305.37616919	99818.8098594111	29883689589.3472	44755575002.0887	128172359869.733	184821.844616352	433235.681062614	1284050.17100741
2008	165143.64587449	106579.519735132	100461.007583569	30588931897.4528	46700808366.1111	131359747789.061	185226.211613982	438178.071004359	1307569.48341165
2009	161855.28080205	101799.909572481	96492.5169329257	30213910477.4361	45413493176.1463	128598488789.087	186672.379966322	446105.437292283	1332730.17304004
2010	163049.645494745	103860.050795567	96277.9855691962	30636651057.484	47078984566.1337	130100592289.316	187897.685790868	453292.523983082	1351301.56203581
2011	169570.014789964	102870.557260818	96910.5711817288	31361938371.0096	47085343271.5158	133064845804.284	184949.788498018	457714.476574048	1373068.42980791
2012	171581.072324617	102186.651972806	96928.3596168382	31957723759.4898	47060397999.2487	134962963097.845	186254.365510832	460533.710525836	1392399.1247903
2013	169672.967840768	102841.492538776	97258.5564509247	31800893760.9966	47626023461.4926	136996440404.293	187424.633196966	463101.247227963	1408579.82478302
2014	170354.85898419	102434.38353473	97632.482921762	32254041681.4893	48086161472.2203	139178975506.426	189334.439145541	469433.795693387	1425539.64972864
2015	172396.29294762	99451.5898464973	96834.7861646	32855396178.9956	47476651228.5487	140057213995.719	190580.641945579	477384.537560722	1446352.28251188
2016	174043.112920276	99002.1443667486	94589.6844451241	33384363114.1777	47989968139.9081	138708305008.397	191816.628386037	484736.653401482	1466421.0566097
2017	175510.808676962	98997.8604211282	94144.4326985184	33885982455.2615	48461757043.4486	140084058246.513	193070.630297366	489523.276940497	1487969.64654414
2018	179484.541710735	100634.675506958	97285.1087223943	34892151500.5498	49862563406.0378	146694000914.424	194401.98675596	495480.937905845	1507877.23672098
