""	"Keine oder obligatorische Schule"	"Berufsvorbereitende Schule"	"DMS, FMS, o.ä."	"Berufslehre"	"Matura"	"Höhere Fachschule"	"Universität"
"Männer"	12966.571241	2734.3713429	1626.9110075	20665.110924	7390.6394141	8098.7438110	24789.452260
"Frauen"	16236.773093	4278.6101112	3209.0863814	20703.169159	7929.0065222	8141.7617218	23936.793011
"Schweizer"	14178.341299	4525.2893557	3464.5607657	33093.800897	10980.478308	12696.041879	26070.487496
"Ausländer"	15025.003035	2487.6920984	1371.4366231	8274.4791864	4339.1676279	3544.4636541	22655.757775
"18-29 J."	3652.4892547	1960.5135583	866.52571584	5786.9724561	5945.9795955	1367.5674952	7845.9820180
"30-39 J."	3202.0405661	908.26629012	727.92506206	5509.7436375	2236.5412481	2975.8939417	16363.784628
"40-49 J."	4075.9753251	710.92824124	514.99719782	5513.9699341	1844.2647062	2883.8709417	10087.789871
"50-59 J."	4515.4038497	656.56822810	661.29280171	7314.5696038	2078.8988406	3993.5266951	7350.2248699
"60 J. u.m."	10289.190087	2205.7804627	1961.1464752	17176.456088	3162.1762321	5019.6464592	7078.4638847
"Total"	29203.344333	7012.9814541	4835.9973889	41368.280083	15319.645936	16240.505533	48726.245271

