Jahr	Einbürgerungsziffer männlich	Einbürgerungsziffer weiblich	Ausländeranteil (rechte Skala)
2009	17.766966375	22.328002466	32.453892499
2010	13.392720012	16.668357169	32.643840007
2011	11.880303707	16.322517207	33.369603699
2012	12.443405871	15.14764157	33.871259543
2013	14.994036463	17.966479065	34.56070071
2014	14.340023481	15.54309953	35.007202081
2015	15.627588492	19.269381762	35.286809598
2016	10.356763239	12.193334701	35.724448301
2017	16.912976522	19.943925774	35.987094699
2018	13.848357829	17.453245168	36.418883829
2019	17.70706697	20.182089805	36.583053486
