jahr	MIV Stadtstrassennetz	MIV Total	ÖV	Velo (wetterbereinigt)	Fussgänger
2010	100.0	100.0	100.0	100.0		
2011	99.2	100.5	102.6	103.1		
2012	98.2	99.5	104.6	103.3		
2013	98.5	100.7	105.1	103.9	100.0
2014	98.2	101.1	106.8	114.7	107.0
2015	97.1	100.9	110.2	118.4	103.0
2016	97.2	101.0	109.5	122.9	102.5
2017	95.2	100.2	108.1	125.6	103.7
2018	93.9	99.0	106.6	128.7	102.4
2019	92.3	98.5	107.7	145.0	98.4
2020	77.0	80.3	72.3	141.9	83.7
2021	81.4	85.5	72.9	145.2	82.7
2022	83.8	92.2	89.3	155.4	91.2
2023	84.5	93.8	97.8	164.6	97.6
2024	86.8	95.7	99.7	164.8	101.1
