"WohnviertelId"	"Wohnviertel_Name"	"2024"	"Differenz 2024 zu 2019"
1	Altstadt Grossbasel	0.0	-0.1
2	Vorstädte	0.2	-0.2
3	Am Ring	0.9	-0.3
4	Breite	2.1	-0.2
5	St. Alban	1.3	-0.1
6	Gundeldingen	2.2	-0.2
7	Bruderholz	1.4	-0.1
8	Bachletten	1.2	-0.2
9	Gotthelf	1.3	-0.5
10	Iselin	2.8	-0.5
11	St. Johann	3.0	-0.4
12	Altstadt Kleinbasel	0.7	-0.4
13	Clara	1.7	-0.8
14	Wettstein	0.9	-0.2
15	Hirzbrunnen	3.0	-0.1
16	Rosental	3.4	0.0
17	Matthäus	2.5	-0.6
18	Klybeck	3.8	-0.6
19	Kleinhüningen	4.7	0.2
20	Riehen	1.5	-0.0
30	Bettingen	0.8	-0.9
