WohnviertelId	Wohnviertel_Name	2016	Differenz 2016 zu 2012	
1	Altstadt Grossbasel	8.9514	1.0315	
2	Vorstädte 	9.0844	-0.1295	
3	Am Ring 	10.2564	0.5749	
4	Breite 	15.2353	-1.2924	
5	St. Alban 	9.0793	0.1289	
6	Gundeldingen 	15.9184	0.0969	
7	Bruderholz 	8.8418	0.3894	
8	Bachletten 	10.8627	0.1894	
9	Gotthelf 	12.5407	0.0507	
10	Iselin 	16.5185	0.3373	
11	St. Johann 	18.4756	0.7180	
12	Altstadt Kleinbasel 	14.4245	-0.0728	
13	Clara 	15.4372	-0.8116	
14	Wettstein 	11.9716	1.0065	
15	Hirzbrunnen 	15.2139	-0.4766	
16	Rosental 	17.3251	-0.4633	
17	Matthäus 	18.9049	0.1486	
18	Klybeck 	23.9329	1.3018	
19	Kleinhüningen 	22.4745	3.2943	
20	Riehen 	9.6937	0.6883	
30	Bettingen	12.3077	2.1081
