"Jahr"	"Pharmaindustrie"	"Übriges verarbeit. Gewerbe"	"Bau, Energie, Wasser"	"Handel und Verkehr"	"Finanzen, Versicherung"	"Unternehmens-DL, Freiberufe"	"Öff. Verwaltung und Bildung"	"Gesundheits- und Sozialwesen"	"Übrige Branchen"
"2011"	16912	10281	8890	29285	12200	34715	17173	26297	27430
"2012"	17326	9534	9013	29696	11978	34620	17485	26563	28510
"2013"	17772	8987	8994	28942	11782	36400	18196	28083	29335
"2014"	18198	8707	9388	28478	11747	37218	18656	28844	29919
"2015"	18696	8720	9591	27266	11577	36516	18919	29223	29825
"2016"	18869	8563	9488	26274	11300	36758	19251	30214	29584
"2017"	18779	8351	9276	25882	10837	37637	19060	31092	29609
"2018"	18184	8197	9064	25910	10925	37262	19645	31389	29886
"2019"	17802	7955	8775	26295	11029	37931	19904	31879	30880

