Branche	Schweiz	Basel-Stadt	Genf	Zürich
Life Sciences	4.54821	4.62435	5.74420	1.89104
Herst. von chem. Erzeugn.	2.42976	2.63283	-0.25935	2.18085
Baugewerbe	0.71923	-0.47655	-1.60437	2.55428
Handel und Garagengewerbe	0.40733	0.59545	-5.42763	1.62826
Verkehr und Lagerei	1.35135	0.82742	1.16922	1.28270
Gastgewerbe	2.01417	2.08021	1.61642	1.87697
Finanz- u. Versicherungsdl.	1.63202	1.58957	1.34785	1.74276
Freiberufl. u. wiss. Dienstl.	1.58373	1.41210	1.00240	1.50107
Sonstige wirtschaftl. Dienstl.	1.97824	2.15633	2.11082	1.85075
Öffentliche Verwaltung	0.16564	0.42619	1.57039	0.88039
Gesundheits- u. Sozialwesen	2.17303	1.38153	1.82267	2.20530
