Jahr	Schweiz	Ausland	18-29 J.	30-39 J.	40-49 J.	50-59 J.	60-69 J.	>69 J.	Männer	Frauen	Total
2003	90.566037735849	91.534391534391	77.319587628865	87.280701754385	94.163424124513	95.564516129032	93.392070484581	93.307086614173	89.703588143525	91.525423728813	90.696022727272
2005	90.434083601286	87.437185929648	78.60465116279	88	89.084507042253	91.372549019607	96.052631578947	96.186440677966	88.541666666666	91.309987029831	90.02079002079
2007	91.088328075709	86.390532544378	79.047619047619	86.705202312138	90.393013100436	92.481203007518	95.180722891566	95.16129032258	89.291101055806	91.602067183462	90.53583855254
2011	93.232484076433	91.826923076923	87.5	85.62874251497	94.017094017094	94.318181818181	94.573643410852	96.438356164383	91.284403669724	94.444444444444	93.032786885245
2015	94.884092725819	93.413173652694	88.043478260869	90.434782608695	93.063583815028	92.775665399239	96.815286624203	97.396963123644	93.808049535603	95.466321243523	94.710860366713
2003_n	1219	189	194	228	257	248	227	254	641	767	1408
2005_n	1244	199	215	225	284	255	228	236	672	771	1443
2007_n	1268	169	210	173	229	266	249	310	663	774	1437
2011_n	1256	208	176	167	234	264	258	365	654	810	1464
2015_n	1251	167	92	115	173	263	314	461	646	772	1418
