jahr	PV-Beziehende (inkl. SH/EL) (linke Achse)	Anteil PV-Beziehende an Wohnbev. in % (rechte Achse)	Wohnbevölkerung (Jahresbestand)
2006	52177	27.7844636619238	187792
2007	50528	26.8765957446809	188000
2008	49684	26.2107240076811	189556
2009	51915	27.2069805832875	190815
2010	51485	26.9838940455663	190799
2011	52341	27.250150981903	192304
2012	53403	27.6042985852299	193459
2013	54294	27.7776925084033	195459
2014	50302	25.602760712777	196471
2015	50633	25.6754426887893	197204
2016	51229	25.8463416849137	198206
