jahr	Allg. Verwaltung	Öff. Sicherheit	Bildung	Kultur und Sport	Gesundheit	Soziale Sicherheit	Verkehr	Umweltschutz	Volkswirtschaft	Finanzen, Steuern	Total (rechte Skala)	allg_verwaltung_ausg	sicherheit_ausg	bildung_ausg	kultur_sport_ausg	gesundheit_ausg	soziales_ausg	verkehr_ausg	umweltschutz_ausg	Volkswirtschaft_ausg	finanzen_und_steuern_ausg	Bevölkerung
2008	4205.699417	1863.961058	5857.340537	1300.1383	3111.399159	3782.791747	797.670361	614.044096	239.444096	1393.660194	23166.148969	797215558.73	353325002.35	1110294042.86	246449015.61	589784379.16	717050872.46	151203203.09	116395742.8	45388065.19	264176651.84	189556
2009	1021.103994	1760.571214	6051.627608	1169.577723	3396.057522	4031.890179	669.656896	479.062144	446.827275	1415.794494	20442.169054	194841958.71	335943396.28	1154741322.17	223172973.37	648018716.24	769345124.52	127780580.79	91412243.19	85261346.49	270154826.43	190815
2010	2018.835368	1816.730172	6206.387291	1211.537605	3319.729685	4157.63016	655.995123	497.668315	734.426347	1342.395513	21961.335582	385191769.47	346630300.11	1184172488.75	231160163.55	633401104.21	793271676.99	125163213.58	94954616.98	140127812.65	256127721.61	190799
2011	1909.375911	1896.090739	6336.174386	1259.604887	3380.791902	4334.5996	657.831731	501.561306	180.070585	1415.237508	21871.33856	366745287.52	364193524.94	1217027031.46	241939868.31	649368985.56	832572552.93	126353687.6	96337889.44	34587237.84	271833159.72	192076
2012	1118.210275	1990.863394	6822.05075	1369.331054	4574.892564	4582.066768	919.889619	451.759675	88.124485	1390.988186	23308.176774	216327841.69	385150441.46	1319787116.16	264909416.46	885054140.71	886442054.91	177960925.89	87396975.04	17048474.77	269099183.53	193459
2013	1264.239182	2144.166971	7038.572279	1287.754282	3096.107241	4592.455198	1589.669176	438.151785	85.141904	1731.115855	23267.373878	247106926.37	419096732.16	1375752299.2	251703164.21	605162025.3	897636700.67	310715147.59	85640709.89	16641751.48	338362174.07	195459
2014	1445.741072	2169.993698	7422.802309	1455.013254	3091.600955	4910.280955	1284.652896	418.72881	120.080839	1645.474915	23964.369708	284046194.19	426340831.84	1458365392.61	285867909.19	607409931.35	964727809.52	252397039.23	82268068.2	23592402.67	323288102.2	196471
2015	1796.773885	2178.658678	7795.048186	1678.061294	3091.311342	4560.603126	1438.726659	463.167099	597.569932	1521.461927	25121.382133	354330997.28	429640206.02	1537214682.55	330920399.5	609618962.07	899369178.94	283722652.2	91338404.75	117843181	300038378	197204
2016	3821.571277	2202.985801	8075.635124	1552.937855	3128.022392	4654.028642	1365.814403	577.531111	93.334031	1495.64495	26967.505591	757458356.53	436645003.82	1600639335.55	307801600.63	619992806.34	922456401.16	270712609.58	114470131.42	18499365.09	296445803.15	198206
2017	2265.773396	2284.882408	7704.457852	1531.92158	2965.825328	4715.632685	1356.13724	482.702611	80.4428	1553.325903	24941.101808	450861716.72	454664180.62	1533094659.24	304834011.47	590163650.47	938354316.79	269855037.28	96052027.16	16007152.07	309093214.88	198988
