Jahr	Note 10	Note 9	Note 8	Note 7 	Note 6	Note 5	Note 4	Note 3	Note 2	Note 1
2011										
2011: <3 000 Fr.	26	13	39	23	9	20	2	3	0	1
2011: 3 000-7499 Fr.	94	66	261	143	41	54	8	7	2	5
2011: >7 499 Fr.	47	74	232	116	28	14	5	3	0	0
2015										
2015: <3 000 Fr.	19	26	50	20	9	13	1	1	1	1
2015: 3 000-7 499 Fr.	70	74	260	120	40	37	6	5	0	2
2015: >7 499 Fr.	48	93	205	85	31	19	6	5	1	1
2019										
2019: <3 000 Fr.	36	45	79	36	13	17	5	6	2	1
2019: 3 000-7 499 Fr.	120	156	306	136	50	40	15	8	2	3
2019: >7 499 Fr.	122	177	238	100	17	12	2	4	4	1
