Haushaltstyp	Mittlere Wohnfläche	Mittlere Wohnfläche	Mittlere Wohnfläche
Einpersonenhaushalte	65.10
Familienhaushalte	32.87
Verheiratete/registrierte Paare ohne Kinder		46.83
Paare mit minderjährigen Kindern		26.30
Verheiratete Paare mit Kindern			26.08
Unverheiratete Paare mit Kindern			27.49
Einelternhaushalte mit minderj. Kindern		30.18
Ohne weitere Personen			33.02
Mit Grosseltern(-teil)			21.98
Mit weiteren Personen			26.12
Eltern(-teil) mit nur volljährigen Kindern		33.63
Nichtfamilienhaushalte	36.12

