Kanton	2018	2019	2020
ZG	2.21	2.05	2.1
BS	0.88	2.07	2.06
ZH	1.42	1.35	1.23
GE	0.06	0.02	1.14
AG	0.97	0.84	0.66
SZ	0.71	0.59	0.49
NW	0.75	0.61	0.38
LU	0.7	0.54	0.3
BL	0.18	0.09	0.22
TG	0.27	0.13	0.21
SH	0.16	0.03	0.14
VD	-0.48	0.24	-0.01
AR	0.32	0.19	-0.06
OW	0.22	0.04	-0.11
SO	-0.21	-0.31	-0.18
SG	-0.17	-0.29	-0.24
AI	-0.07	-0.3	-0.4
FR	-0.98	-1.06	-0.52
UR	-0.72	-0.83	-0.78
NE	-0.57	-0.74	-0.79
GL	-0.84	-0.95	-0.89
BE	-0.66	-0.72	-0.91
TI	-0.85	-1	-1.04
GR	-1.06	-1.17	-1.24
JU	-1.84	-1.92	-1.56
VS	-1.57	-1.67	-1.91

