"Wohnviertel_ID"	"Wohnviertel_Name"	"Median pro Veranlagung in Fr."
1	"Altstadt Grossbasel"	31236.0
2	"Vorstädte"	48880.5
3	"Am Ring"	38772.0
4	"Breite"	14148.0
5	"St. Alban"	59000.0
6	"Gundeldingen"	12708.5
7	"Bruderholz"	74863.0
8	"Bachletten"	45676.0
9	"Gotthelf"	27817.0
10	"Iselin"	9631.0
11	"St. Johann"	8176.0
12	"Altstadt Kleinbasel"	10020.0
13	"Clara"	8111.0
14	"Wettstein"	31499.0
15	"Hirzbrunnen"	18500.5
16	"Rosental"	3833.0
17	"Matthäus"	5302.0
18	"Klybeck"	1964.5
19	"Kleinhüningen"	3763.0
20	"Riehen"	60135.0
30	"Bettingen"	99999.0
