"Wohnvierrtel_ID"	"Wohnviertel_Name"	"Anteil unter 20-Jähriger in %"	"Anzahl unter 20-Jähriger"
1	Altstadt Grossbasel	11.075367647	241
2	Vorstädte	11.226321037	563
3	Am Ring	13.751507841	1482
4	Breite	14.341868823	1277
5	St. Alban	16.633805341	1856
6	Gundeldingen	14.336574738	2698
7	Bruderholz	21.352082207	1974
8	Bachletten	17.706639066	2395
9	Gotthelf	15.946651203	1100
10	Iselin	17.146418185	2889
11	St. Johann	17.130283603	3153
12	Altstadt Kleinbasel	10.633116883	262
13	Clara	12.337183583	502
14	Wettstein	14.231464738	787
15	Hirzbrunnen	19.343065693	1802
16	Rosental	19.536574284	1290
17	Matthäus	15.615710581	2469
18	Klybeck	19.517574087	1416
19	Kleinhüningen	19.866385373	565
20	Riehen	20.097487814	4288
30	Bettingen	18.052057095	215
