"Wohnviertel_ID Wohnviertel_Name"		"Anteil Personen über 64 Jahre in %"	"Anzahl Personen über 64 Jahre"
"1"	"Altstadt Grossbasel"	21.06	452
"2"	"Vorstädte"	23.93	1201
"3"	"Am Ring"	21.17	2354
"4"	"Breite"	21.39	1928
"5"	"St. Alban"	25.15	2928
"6"	"Gundeldingen"	15.72	2950
"7"	"Bruderholz"	22.92	2155
"8"	"Bachletten"	21.73	2967
"9"	"Gotthelf"	21.43	1490
"10"	"Iselin"	16.44	2776
"11"	"St. Johann"	15.67	2861
"12"	"Altstadt Kleinbasel"	19.63	473
"13"	"Clara"	22.06	901
"14"	"Wettstein"	19.82	1095
"15"	"Hirzbrunnen"	23.47	2188
"16"	"Rosental"	8.61	649
"17"	"Matthäus"	13.53	2066
"18"	"Klybeck"	14.29	1034
"19"	"Kleinhüningen"	18.51	518
"20"	"Riehen"	25.78	5528
"30"	"Bettingen"	24.15	285

