"Wohnviertel_ID"	"Wohnviertel_Name"	"Gebäude pro Hektare"	"Anzahl Gebäude"
1	Altstadt Grossbasel	13.254980844	500
2	Vorstädte	6.0210181435	543
3	Am Ring	12.85643748	1175
4	Breite	9.7641912829	670
5	St. Alban	4.0078385131	1194
6	Gundeldingen	12.275586926	1430
7	Bruderholz	8.0763115701	2092
8	Bachletten	16.39389962	2507
9	Gotthelf	20.092694021	979
10	Iselin	13.33169373	1456
11	St. Johann	6.7468535239	1520
12	Altstadt Kleinbasel	11.375764829	282
13	Clara	10.931953343	253
14	Wettstein	9.352883762	707
15	Hirzbrunnen	5.1367581132	1591
16	Rosental	4.8133824025	305
17	Matthäus	19.19455032	1143
18	Klybeck	4.7488740007	437
19	Kleinhüningen	1.2286653912	166
20	Riehen	3.8166691544	4145
30	Bettingen	1.4009758542	312
