"Wohnviertel_ID"	"Wohnviertel_Name"	"Leerwohnungsquote (%)"	"Anzahl leerstehende Wohnungen"
1	"Altstadt Grossbasel"	2.18	34
2	"Vorstädte"	1.94	67
3	"Am Ring"	1.35	88
4	"Breite"	0.80	43
5	"St. Alban"	1.51	101
6	"Gundeldingen"	1.59	184
7	"Bruderholz"	0.71	32
8	"Bachletten"	0.65	48
9	"Gotthelf"	1.16	49
10	"Iselin"	1.12	110
11	"St. Johann"	1.00	102
12	"Altstadt Kleinbasel"	1.88	31
13	"Clara"	1.66	40
14	"Wettstein"	0.33	11
15	"Hirzbrunnen"	0.34	16
16	"Rosental"	1.55	63
17	"Matthäus"	1.29	116
18	"Klybeck"	0.42	16
19	"Kleinhüningen"	0.50	7
20	"Riehen"	0.73	77
30	"Bettingen"	0.00	0

