"Wohnviertel_ID"	"Wohnviertel_Name"	"Median pro Veranlagung in Fr"
1	"Altstadt Grossbasel"	53814.0
2	"Vorstädte"	58060.0
3	"Am Ring"	54997.5
4	"Breite"	47338.0
5	"St. Alban"	63606.0
6	"Gundeldingen"	47700.0
7	"Bruderholz"	67136.0
8	"Bachletten"	58775.0
9	"Gotthelf"	51237.0
10	"Iselin"	44416.0
11	"St. Johann"	42377.5
12	"Altstadt Kleinbasel"	43150.5
13	"Clara"	39142.0
14	"Wettstein"	56058.5
15	"Hirzbrunnen"	52701.0
16	"Rosental"	44828.0
17	"Matthäus"	39295.5
18	"Klybeck"	36481.0
19	"Kleinhüningen"	39860.0
20	"Riehen"	63193.0
30	"Bettingen"	70038.5

