"Wohnviertel_ID"	"Wohnviertel_Name"	"Arbeitsstätten pro 100 Einwohner"	"Anzahl Arbeitsstätten"
1	"Altstadt Grossbasel"	56.824818	1557
2	"Vorstädte"	41.40532	2086
3	"Am Ring"	12.984852	1483
4	"Breite"	4.4690265	404
5	"St. Alban"	16.894903	2085
6	"Gundeldingen"	8.5607418	1625
7	"Bruderholz"	4.9081697	465
8	"Bachletten"	6.4681651	895
9	"Gotthelf"	6.5075305	458
10	"Iselin"	4.214311	715
11	"St. Johann"	6.6200828	1279
12	"Altstadt Kleinbasel"	22.391753	543
13	"Clara"	8.667267	385
14	"Wettstein"	8.1015719	469
15	"Hirzbrunnen"	3.4542501	319
16	"Rosental"	5.2699896	406
17	"Matthäus"	7.1447146	1099
18	"Klybeck"	6.3489799	445
19	"Kleinhüningen"	10.168278	284
20	"Riehen"	4.7043494	1047
30	"Bettingen"	4.3247344	57

