"Wohnvierrtel_ID Wohnviertel_Name"		"Anteil Personen unter 20 Jahren in %"	"Anzahl Personen unter 20 Jahren"
"1"	"Altstadt Grossbasel"	10.47	287
"2"	"Vorstädte"	12.41	625
"3"	"Am Ring"	14.73	1682
"4"	"Breite"	14.05	1270
"5"	"St. Alban"	18.56	2290
"6"	"Gundeldingen"	14.36	2726
"7"	"Bruderholz"	22.43	2125
"8"	"Bachletten"	19.02	2632
"9"	"Gotthelf"	16.75	1179
"10"	"Iselin"	17.15	2910
"11"	"St. Johann"	17.43	3367
"12"	"Altstadt Kleinbasel"	9.28	225
"13"	"Clara"	12.63	561
"14"	"Wettstein"	14.84	859
"15"	"Hirzbrunnen"	21.23	1961
"16"	"Rosental"	19.89	1532
"17"	"Matthäus"	14.55	2238
"18"	"Klybeck"	17.92	1256
"19"	"Kleinhüningen"	18.83	526
"20"	"Riehen"	21.54	4793
"30"	"Bettingen"	21.02	277

