"Wohnviertel_ID"	"Wohnviertel_Name"	"Wohnungen pro Hektar"	"Anzahl Wohnungen"
1	Altstadt Grossbasel	38.041795022	1435
2	Vorstädte	37.855904129	3414
3	Am Ring	68.582255427	6268
4	Breite	77.355712432	5308
5	St. Alban	20.935417761	6237
6	Gundeldingen	95.7409937	11153
7	Bruderholz	16.924737057	4384
8	Bachletten	47.318012625	7236
9	Gotthelf	84.639703927	4124
10	Iselin	88.615475221	9678
11	St. Johann	44.728975631	10077
12	Altstadt Kleinbasel	62.486027374	1549
13	Clara	102.14678934	2364
14	Wettstein	43.11322232	3259
15	Hirzbrunnen	15.129383104	4686
16	Rosental	55.535385817	3519
17	Matthäus	148.58563537	8848
18	Klybeck	40.718606134	3747
19	Kleinhüningen	10.073575888	1361
20	Riehen	9.5209551402	10340
30	Bettingen	2.2586245342	503
