Wohnviertel_ID	Wohnviertel_Name	Leerwohnungsquote in %	Anzahl leerstehende Wohnungen
1	Altstadt Grossbasel	1.42	21
2	Vorstädte	2.66	91
3	Am Ring	0.91	58
4	Breite	1.03	55
5	St. Alban	1.31	85
6	Gundeldingen	0.94	107
7	Bruderholz	0.70	31
8	Bachletten	0.51	37
9	Gotthelf	0.65	27
10	Iselin	0.89	87
11	St. Johann	0.84	85
12	Altstadt Kleinbasel	1.00	16
13	Clara	1.30	30
14	Wettstein	0.58	19
15	Hirzbrunnen	0.76	36
16	Rosental	3.55	143
17	Matthäus	0.62	55
18	Klybeck	0.58	22
19	Kleinhüningen	0.66	9
20	Riehen	1.03	107
30	Bettingen	0.59	3
