"Wohnviertel_ID"	"Wohnviertel_Name"	"Beschäftigte pro 100 Einwohner"	"Anzahl Beschäftigte"
1	"Altstadt Grossbasel"	498.31334	13295
2	"Vorstädte"	604.20903	29715
3	"Am Ring"	123.47772	13911
4	"Breite"	20.767061	1841
5	"St. Alban"	290.1664	34701
6	"Gundeldingen"	78.447002	14861
7	"Bruderholz"	18.868524	1781
8	"Bachletten"	26.460707	3623
9	"Gotthelf"	38.863536	2640
10	"Iselin"	23.394904	3939
11	"St. Johann"	119.07968	22462
12	"Altstadt Kleinbasel"	241.76197	5708
13	"Clara"	68.938522	2994
14	"Wettstein"	204.53361	11775
15	"Hirzbrunnen"	37.2098	3478
16	"Rosental"	72.323073	5498
17	"Matthäus"	24.677188	3784
18	"Klybeck"	56.214039	3908
19	"Kleinhüningen"	286.43143	7874
20	"Riehen"	22.389356	4897
30	"Bettingen"	25.482315	317

