"WohnviertelId"	"Wohnviertel_Name"	"Ausländeranteil 2018 in %"	"Zunahme seit 1999 in Prozentpunkten"
1	"Altstadt GB"	28.0877	12.212
2	"Vorstädte"	38.1009	16.904
3	"Am Ring"	36.8741	14.256
4	"Breite"	33.8042	10.998
5	"St. Alban"	34.4980	17.320
6	"Gundeldingen"	39.5548	1.441
7	"Bruderholz"	24.6981	13.162
8	"Bachletten"	21.7423	9.037
9	"Gotthelf"	28.3160	9.921
10	"Iselin"	38.4000	10.829
11	"St. Johann"	43.4436	2.474
12	"Altstadt KB"	37.6278	13.411
13	"Clara"	47.0603	5.534
14	"Wettstein"	31.8885	12.552
15	"Hirzbrunnen"	24.9227	8.057
16	"Rosental"	55.6871	5.699
17	"Matthäus"	50.7988	0.635
18	"Klybeck"	52.2007	3.330
19	"Kleinhüningen"	47.9706	8.771
20	"Riehen"	26.6179	13.963
30	"Bettingen"	24.6496	8.373

