"Wohnviertel"	"Deutschland"	"Italien"	"Türkei"	"EU-17 + EFTA"	"EU-Ost"	"Balkan"	"Mittel- und Südamerika"	"Arabische Länder"	"Afrikanische Länder"	"Übrige Länder"
"Altstadt GB"	28.3	9.0	4.4	28.3	3.3	1.9	1.5	1.0	1.4	20.7
"Vorstädte"	21.9	11.3	2.9	30.4	7.8	3.7	2.3	1.3	1.2	17.0
"Am Ring"	23.0	12.1	2.9	28.0	7.5	4.3	2.2	1.4	2.5	15.9
"Breite"	20.4	12.0	9.2	20.5	7.2	13.5	3.5	1.7	2.3	9.7
"St. Alban"	20.1	9.5	5.7	29.6	6.4	4.7	3.7	1.9	2.1	16.4
"Gundeld."	20.6	12.9	12.8	18.3	4.8	14.5	2.5	2.4	1.9	9.3
"Bruderholz"	31.3	10.6	3.0	27.9	6.6	3.2	2.6	1.0	0.6	13.2
"Bachletten"	32.0	11.0	4.1	24.2	6.7	5.2	2.4	1.9	1.4	11.2
"Gotthelf"	29.6	12.2	3.7	23.8	6.1	6.7	1.9	1.9	1.4	12.9
"Iselin"	16.9	14.3	12.5	21.3	5.3	11.0	2.6	3.3	2.8	9.7
"St. Johann"	18.8	11.2	10.3	23.2	6.5	11.9	2.2	1.9	3.1	10.7
"Altstadt KB"	22.8	12.8	3.6	24.0	9.1	9.2	3.1	2.2	2.2	11.0
"Clara"	15.7	12.7	5.4	20.1	5.3	17.2	3.0	2.5	3.1	14.9
"Wettstein"	30.7	13.8	3.7	23.6	5.6	5.3	1.9	0.8	1.4	13.2
"Hirzbrun."	26.1	13.5	11.4	16.2	5.0	11.5	2.8	2.9	2.4	8.1
"Rosental"	16.0	8.6	8.4	18.3	7.4	15.2	2.4	2.4	2.9	18.5
"Matthäus"	17.5	11.2	9.2	20.1	5.9	15.9	2.5	2.7	4.2	10.8
"Klybeck"	11.5	14.7	13.6	19.7	6.2	18.4	1.9	2.9	4.5	6.5
"Kleinhün."	13.0	15.4	12.3	13.3	5.4	21.6	1.8	5.4	4.0	7.8
"Riehen"	42.0	9.9	4.8	17.6	5.2	6.2	2.5	1.6	1.6	8.6
"Bettingen"	57.4	6.7	0.7	19.8	5.0	2.0	0.7		3.0	4.7

