"Jahr"	"Ohne Kaderfunktion"	"Unteres Fachkader"	"Unteres Kader"	"Mittleres Fachkader"	"Mittleres Kader"	"Oberes Kader"	"Total"
"2005"	589	6	12	7	11	6	631
"2006"	583	4	13	8	11	5	624
"2007"	553	7	11	6	12	5	594
"2008"	577	7	12	6	16	6	624
"2009"	619	6	12	7	17	6	667
"2010"	625	5	13	8	15	6	672
"2011"	626	8	13	11	18	5	681
"2012"	641	9	15	11	19	6	701
"2013"	597	13	18	7	20	6	661
"2014"	613	14	17	10	15	6	675
"2015"	632	12	21	12	15	5	697
"2016"	674	7	24	12	13	5	735
"2017"	683	7	27	13	13	5	748
"2018"	689	8	27	11	15	7	757
"2019"	705	7	27	12	13	7	771
"2020"	722	8	26	13	14	5	788
"2021"	768	7	28	12	14	5	834
"2022"	824	5	25	15	13	5	887
"2023"	888	5	31	12	12	5	953
"2024"	935	10	33	12	11	6	1007
