"Jahr"	"Schweiz (Stadt)"	"Schweiz (Kanton)"	"Deutschland (Stadt)"	"Deutschland (Kanton)"	"Italien (Stadt)"	"Italien (Kanton)"	"Türkei (Stadt)"	"Türkei (Kanton)"	"EU-17 + EFTA  (Stadt)"	"EU-17 + EFTA (Kanton)"	"EU-Ost (Stadt)"	"EU-Ost (Kanton)"	"Balkan (Stadt)"	"Balkan (Kanton)"	"Mittel- und Südamerika (Stadt)"	"Mittel- und Südamerika (Kanton)"	"Arabische Länder (Stadt)"	"Arabische Länder (Kanton)"	"Afrikanische Länder (Stadt)"	"Afrikanische Länder (Kanton)"	"Übrige Länder (Stadt)"	"Übrige Länder (Kanton)"	"Staat unbekannt (Stadt)"	"Staat unbekannt (Kanton)"
"2001"	4.17	""	2.10	""	5.31	""	15.09	""	4.18	""	7.30	""	6.88	""	15.33	""	24.85	""	17.94	""	6.25	""	""	""
"2002"	4.35	""	1.99	""	5.05	""	15.25	""	3.97	""	7.11	""	7.54	""	17.88	""	27.48	""	17.22	""	6.17	""	""	""
"2003"	4.96	""	2.51	""	6.04	""	18.17	""	5.30	""	6.99	""	9.64	""	18.81	""	29.79	""	21.16	""	6.75	""	""	""
"2004"	5.68	""	2.95	""	7.34	""	22.80	""	5.70	""	9.80	""	11.60	""	22.16	""	31.64	""	23.71	""	8.22	""	""	""
"2005"	6.08	""	2.84	""	8.18	""	25.27	""	5.71	""	10.41	""	13.78	""	22.67	""	34.11	""	28.46	""	9.04	""	""	""
"2006"	6.13	""	2.56	""	8.16	""	25.95	""	5.55	""	9.03	""	13.96	""	23.90	""	34.87	""	28.45	""	8.80	""	""	""
"2007"	5.75	""	2.01	""	7.25	""	24.22	""	4.66	""	7.64	""	13.35	""	23.65	""	37.53	""	29.40	""	8.19	""	""	""
"2008"	5.35	""	2.18	""	6.67	""	22.57	""	4.29	""	5.99	""	13.52	""	21.52	""	36.98	""	26.09	""	8.35	""	""	""
"2009"	5.21	""	2.42	""	6.12	""	21.83	""	4.41	""	6.38	""	13.86	""	19.49	""	36.84	""	28.15	""	7.70	""	""	""
"2010"	5.02	""	2.66	""	5.61	""	21.30	""	4.18	""	7.71	""	12.96	""	18.19	""	43.24	""	38.14	""	8.00	""	""	""
"2011"	5.15	""	2.68	""	6.04	""	21.76	""	4.43	""	7.35	""	12.51	""	19.84	""	55.65	""	53.26	""	9.42	""	""	""
"2012"	5.19	""	2.76	""	6.26	""	21.57	""	4.44	""	7.75	""	12.81	""	18.85	""	54.70	""	56.30	""	9.79	""	""	""
"2013"	5.19	""	2.66	""	6.16	""	22.12	""	4.64	""	7.79	""	12.41	""	19.01	""	57.21	""	59.92	""	10.04	""	""	""
"2014"	5.15	""	2.61	""	5.84	""	21.02	""	4.58	""	7.77	""	11.36	""	19.46	""	64.13	""	58.50	""	10.66	""	""	""
"2015"	4.99	""	2.77	""	6.42	""	21.23	""	4.74	""	9.25	""	11.68	""	19.12	""	64.65	""	55.92	""	10.12	""	""	""
"2016"	5.21	""	2.88	""	6.29	""	21.93	""	4.71	""	9.41	""	11.84	""	19.52	""	66.17	""	57.38	""	10.48	""	""	""
"2017"	""	4.84	""	2.88	""	6.05	""	21.01	""	4.50	""	9.34	""	12.08	""	16.81	""	63.16	""	54.46	""	10.53	""	""
"2018"	""	4.73	""	2.74	""	5.66	""	20.04	""	4.34	""	8.76	""	11.92	""	16.70	""	61.05	""	53.38	""	10.68	""	""

