"Jahr"	"Männer"	"Männer 95% Vertrauensintervall Untergrenze"	"Männer 95% Vertrauensintervall Obergrenze"	"Frauen"	"Frauen 95% Vertrauensintervall Untergrenze"	"Frauen 95% Vertrauensintervall Obergrenze"
2008	44.2443	38.0095	50.4791	29.1717	23.0557	35.2878
2009	42.4953	36.5119	48.4788	28.7892	23.4327	34.1457
2010	37.1815	31.2635	43.0995	23.3917	18.8606	27.9229
2011	34.3919	28.9927	39.7912	22.6503	18.0436	27.2570
2012	38.5962	33.1656	44.0269	20.5736	16.5264	24.6207
2013	37.9677	31.8835	44.0519	28.4083	23.1522	33.6643
2014	36.8224	29.9879	43.6569	23.7467	18.9622	28.5313
2015	37.0905	31.0545	43.1266	26.3637	20.9454	31.7820
2016	37.7061	31.1343	44.2779	26.5868	21.0977	32.0759
2017	33.4825	27.6858	39.2791	21.4339	16.2872	26.5807
2018	35.8810	29.9923	41.7696	28.4154	23.1236	33.7071
2019	39.5009	33.0860	45.9158	31.9646	26.2453	37.6840
2020	38.8065	32.8771	44.7358	32.4728	26.6007	38.3450
2021	33.2255	28.1441	38.3070	29.8681	25.0302	34.7060
2022	40.0686	34.8522	45.2849	25.8635	21.3853	30.3417
2023	37.5138	32.2536	42.7740	23.0661	18.6788	27.4535

