""	"Finanz-, Versicherungs-DL"	"Beratung, Planung, Forschung, Immobilien"	"Gebäudebetreuung, Sicherheit, sonst. wirtsch. DL"	"Personalvermittlung, -überlassung"
"2011-1"	1151	3018	1119	1412
"2011-2"	1144	3095	1230	1576
"2011-3"	1165	3260	1214	1714
"2011-4"	1163	3357	1286	1564
"2012-1"	1175	3419	1303	1447
"2012-2"	1176	3651	1356	1731
"2012-3"	1197	3800	1496	1920
"2012-4"	1229	3936	1494	1780
"2013-1"	1238	4247	1525	1702
"2013-2"	1235	4364	1608	1969
"2013-3"	1236	4471	1616	2139
"2013-4"	1238	4397	1660	2016
"2014-1"	1225	4405	1654	1951
"2014-2"	1223	4587	1719	2190
"2014-3"	1236	4737	1811	2243
"2014-4"	1235	4833	1802	2043
"2015-1"	1252	4904	1755	1999
"2015-2"	1186	5151	1881	2162
"2015-3"	1108	5291	1992	2225
"2015-4"	1105	5298	2042	1907
"2016-1"	1087	5418	1960	1866
"2016-2"	1087	5625	2044	2132
"2016-3"	1063	5654	2063	2201
"2016-4"	1054	5718	2103	2026
"2017-1"	1045	5851	2063	1805
"2017-2"	1031	5944	2147	2042
"2017-3"	976	6124	2359	2174
"2017-4"	954	6164	2281	2090
"2018-1"	931	6256	2301	1902
"2018-2"	935	6314	2346	2073
"2018-3"	927	6349	2362	2099
"2018-4"	926	6297	2396	1783
"2019-1"	813	6410	2466	2188
"2019-2"	835	6493	2446	2168
"2019-3"	813	6575	2439	2298
"2019-4"	832	6587	2592	2280
"2020-1"	829	6614	2576	2170
"2020-2"	827	6753	2524	2165
"2020-3"	820	6823	2633	2098
"2020-4"	813	6882	2652	2072

