""	"Öffentliche Verwaltung, Sozialversicherungen"	"Erziehung, Unterricht"	"Gesundheits-, Sozialwesen"	"Kultur, Unterhaltung, pers. DL"
"2016-1"	492	786	3358	923
"2016-2"	503	778	3409	861
"2016-3"	520	792	3503	887
"2016-4"	537	759	3492	857
"2017-1"	536	748	3458	869
"2017-2"	540	724	3508	851
"2017-3"	546	688	3586	867
"2017-4"	557	681	3605	879
"2018-1"	556	659	3587	838
"2018-2"	549	636	3580	834
"2018-3"	552	625	3599	826
"2018-4"	563	625	3556	796
"2019-1"	570	614	3511	802
"2019-2"	554	595	3532	795
"2019-3"	583	574	3476	792
"2019-4"	574	567	3504	777
"2020-1"	604	563	3475	822
"2020-2"	604	558	3468	779
"2020-3"	601	549	3471	895
"2020-4"	617	603	3466	935
"2021-1"	622	671	3481	939
"2021-2"	617	678	3500	1006
"2021-3"	610	663	3492	1033
"2021-4"	603	626	3544	1035
"2022-1"	636	611	3534	1086
"2022-2"	634	601	3568	1109
"2022-3"	650	597	3603	1188
"2022-4"	647	578	3667	1221
"2023-1"	674	557	3710	1241
"2023-2"	703	567	3713	1313
"2023-3"	714	572	3738	1287
"2023-4"	724	561	3778	1312
"2024-1"	694	526	3712	1418
"2024-2"	712	519	3709	1502
"2024-3"	736	532	3698	1569
"2024-4"	757	534	3723	1669
"2025-1"	760	515	3727	1629
"2025-2"	765	529	3749	1624
"2025-3"	799	533	3806	1713

