Jahr	Schweiz	Deutschland	Italien	Türkei	EU-West + EFTA + UK	Balkan	Übrige Länder
2011	12.6	7.0	9.1	21.5	24.4	24.0	34.5
2012	17.2	8.6	18.2	38.3	13.6	33.6	33.4
2013	18.2	12.2	11.2	22.1	23.0	32.3	33.1
2014	16.4	11.7	19.5	20.5	20.1	13.7	27.3
2015	14.7	10.7	22.2	19.9	11.9	18.9	21.3
2016	13.5	8.5	17.4	18.3	12.7	24.0	16.8
2017	16.9	6.9	11.3	19.0	11.1	20.8	25.8
2018	15.4	8.1	15.7	35.3	14.9	13.1	25.5
2019	15.3	10.1	23.2	17.2	16.8	20.2	27.3
2020	23.9	9.9	19.2	23.3	21.1	24.5	26.9
2021	12.5	11.0	21.6	30.6	9.8	20.5	28.4
2022	14.7	12.9	31.6	41.4	17.9	39.1	35.4
2023	16.3	14.4	22.3	28.8	24.8	47.5	55.0
