"Staatsangehörigkeit"	"Evangelisch-reformiert"	"Römisch-katholisch"	"Christkatholisch"	"Israelitisch"	"Andere/ohne/unbekannt"
"Schweiz"	23.1	16.8	0.4	0.6	59.1
"Deutschland"	13.1	17.8	0.5	0.3	68.4
"Italien"	0.5	22.6	2.3	0.1	74.7
"Türkei"	0.1	0.0	0.0	0.0	99.8
"EU-West + EFTA + UK"	1.6	12.6	2.0	0.4	83.4
"EU-Ost"	2.0	26.2	2.3	0.1	69.5
"Balkan"	0.1	1.2	0.1	0.0	98.6
"Mittel- und Südamerika"	2.4	21.4	2.5	0.1	73.6
"Arabische Länder"	0.5	0.5	0.3	0.1	98.6
"Afrikanische Länder"	4.7	13.9	2.1	0.0	79.3
"Übrige Länder"	1.0	4.9	0.4	1.1	92.5

