"Wohnviertel"	"0-19"	"20-39"	"40-59"	"60-79"	"80-99"	">99"	"Total"
"Altstadt Grossbasel"	287	810	877	609	156	1	2740
"Vorstädte"	625	1588	1408	997	416	4	5038
"Am Ring"	1682	3917	2912	2078	819	13	11421
"Breite"	1270	2970	2388	1727	683	2	9040
"St. Alban"	2290	3249	3333	2174	1290	5	12341
"Gundeldingen"	2726	7157	5015	3180	900	4	18982
"Bruderholz"	2125	1808	2819	2019	700	3	9474
"Bachletten"	2632	3394	3831	3016	960	4	13837
"Gotthelf"	1179	1975	1912	1436	534	2	7038
"Iselin"	2910	5686	4555	2989	823	3	16966
"St. Johann"	3367	6625	5267	3058	996	7	19320
"Altstadt Kleinbasel"	225	904	666	473	157	0	2425
"Clara"	561	1619	1112	825	325	0	4442
"Wettstein"	859	1950	1540	1116	324	0	5789
"Hirzbrunnen"	1961	2179	2434	1957	701	3	9235
"Rosental"	1532	3125	2037	811	197	2	7704
"Matthäus"	2238	5924	4183	2527	507	3	15382
"Klybeck"	1256	2313	1963	1216	260	1	7009
"Kleinhüningen"	526	792	743	567	164	1	2793
"Riehen"	4793	3788	6464	5054	2140	17	22256
"Bettingen"	277	271	364	295	110	1	1318
"Kanton BS"	35321	62044	55823	38124	13162	76	204550

