Jahr	Sehr zufrieden	Eher zufrieden	Eher unzufrieden	Sehr unzufrieden	Weiss nicht	Keine Angabe
2003						
2003: Schweiz	159	504	293	42	252	0
2003: Ausland	27	97	49	7	22	0
2003: Total	186	601	342	49	274	0
2005						
2005: Schweiz	145	578	319	35	196	0
2005: Ausland	28	98	56	7	17	0
2005: Total	173	676	375	42	213	0
2007						
2007: Schweiz	152	653	236	18	244	0
2007: Ausland	18	91	42	5	15	0
2007: Total	170	744	278	23	259	0
2011						
2011: Schweiz	232	590	289	23	143	2
2011: Ausland	48	104	41	6	14	0
2011: Total	280	694	330	29	157	2
2015						
2015: Schweiz	128	472	360	72	186	0
2015: Ausland	24	79	41	8	16	0
2015: Total	152	551	401	80	202	0
2019						
2019: Schweiz	261	505	318	94	241	68
2019: Ausland	79	163	97	28	44	18
2019: Total	347	676	417	123	290	87
