"Datum"	"Finanz-, Versicherungs-DL"	"Beratung, Planung, Forschung, Immobilien"	"Gebäudebetreuung, Sicherheit, sonst. wirtsch. DL"	"Personalvermittlung, -überlassung"
"2008-01"	45	130	169	76
"2008-02"	45	137	174	71
"2008-03"	46	122	172	67
"2008-04"	45	117	149	73
"2008-05"	47	111	157	70
"2008-06"	49	106	158	60
"2008-07"	45	110	155	68
"2008-08"	48	113	153	73
"2008-09"	47	119	161	79
"2008-10"	51	131	148	77
"2008-11"	58	148	155	83
"2008-12"	64	164	164	89
"2009-01"	68	161	165	90
"2009-02"	71	158	173	82
"2009-03"	70	165	179	81
"2009-04"	66	165	170	91
"2009-05"	70	170	171	93
"2009-06"	87	203	182	133
"2009-07"	99	230	185	149
"2009-08"	105	229	197	167
"2009-09"	104	249	212	217
"2009-10"	116	267	227	253
"2009-11"	124	266	224	306
"2009-12"	127	276	232	434
"2010-01"	128	271	255	444
"2010-02"	128	263	252	409
"2010-03"	127	258	242	371
"2010-04"	127	250	235	309
"2010-05"	130	240	252	286
"2010-06"	128	224	246	230
"2010-07"	132	217	251	205
"2010-08"	125	231	249	217
"2010-09"	121	233	243	251
"2010-10"	110	231	234	284
"2010-11"	101	229	245	346
"2010-12"	104	239	247	509
"2011-01"	94	256	247	497
"2011-02"	87	245	252	432
"2011-03"	86	247	255	403
"2011-04"	80	240	228	317
"2011-05"	83	221	237	256
"2011-06"	87	224	233	203
"2011-07"	90	239	224	163
"2011-08"	77	237	237	142
"2011-09"	82	251	243	121
"2011-10"	80	262	234	103
"2011-11"	79	260	237	96
"2011-12"	83	269	240	91
"2012-01"	93	287	240	83
"2012-02"	103	295	233	79
"2012-03"	101	286	220	78
"2012-04"	112	280	234	70
"2012-05"	118	296	243	70
"2012-06"	113	278	224	66
"2012-07"	117	254	221	65
"2012-08"	123	250	215	61
"2012-09"	129	262	230	50
"2012-10"	129	275	231	46
"2012-11"	132	283	245	35
"2012-12"	125	298	253	34
"2013-01"	137	300	255	36
"2013-02"	134	297	264	32
"2013-03"	134	303	259	31
"2013-04"	142	299	258	26
"2013-05"	133	304	248	25
"2013-06"	127	291	239	31
"2013-07"	129	303	225	33
"2013-08"	117	320	230	35
"2013-09"	125	317	240	32
"2013-10"	121	308	261	36
"2013-11"	129	312	255	37
"2013-12"	128	328	268	40
"2014-01"	124	343	270	36
"2014-02"	118	348	279	37
"2014-03"	119	337	270	35
"2014-04"	124	320	271	30
"2014-05"	113	296	256	30
"2014-06"	105	298	250	27
"2014-07"	100	314	238	25
"2014-08"	103	290	237	23
"2014-09"	112	282	231	19
"2014-10"	112	293	241	19
"2014-11"	112	297	251	26
"2014-12"	115	297	273	29
"2015-01"	120	312	288	32
"2015-02"	118	306	288	33
"2015-03"	118	319	293	37
"2015-04"	124	330	277	28
"2015-05"	122	323	275	27
"2015-06"	113	323	263	32
"2015-07"	120	328	261	25
"2015-08"	123	335	257	27
"2015-09"	119	346	253	28
"2015-10"	123	334	261	29
"2015-11"	113	324	271	28
"2015-12"	110	343	297	31
"2016-01"	108	362	298	33
"2016-02"	121	360	317	34
"2016-03"	115	352	293	30
"2016-04"	126	364	301	29
"2016-05"	128	360	298	22
"2016-06"	133	357	287	16
"2016-07"	121	355	275	14
"2016-08"	133	356	263	16
"2016-09"	136	355	271	17
"2016-10"	135	350	281	25
"2016-11"	130	340	303	29
"2016-12"	129	338	304	33
"2017-01"	132	346	294	47
"2017-02"	130	334	292	40
"2017-03"	126	329	280	41
"2017-04"	120	340	271	34
"2017-05"	118	311	248	32
"2017-06"	124	320	250	30
"2017-07"	128	322	246	27
"2017-08"	136	319	237	25
"2017-09"	134	309	238	29
"2017-10"	129	310	245	35
"2017-11"	124	292	236	38
"2017-12"	128	289	237	61

