"Datum"	"Öffentliche Verwaltung, Sozialversicherungen"	"Erziehung, Unterricht"	"Gesundheits-, Sozialwesen"	"Kultur, Unterhaltung, pers. DL"
"2015-01"	87	154	317	177
"2015-02"	85	153	302	168
"2015-03"	86	159	310	165
"2015-04"	85	146	308	173
"2015-05"	81	150	294	174
"2015-06"	80	144	288	179
"2015-07"	78	154	297	186
"2015-08"	72	172	323	196
"2015-09"	80	170	337	196
"2015-10"	81	162	331	197
"2015-11"	75	148	325	197
"2015-12"	77	136	300	187
"2016-01"	80	151	283	191
"2016-02"	80	158	317	195
"2016-03"	80	158	319	197
"2016-04"	77	163	326	206
"2016-05"	81	162	336	205
"2016-06"	80	164	322	187
"2016-07"	83	164	324	174
"2016-08"	81	188	345	178
"2016-09"	73	189	333	165
"2016-10"	73	172	331	172
"2016-11"	69	160	339	176
"2016-12"	69	151	338	172
"2017-01"	81	157	365	187
"2017-02"	81	152	359	180
"2017-03"	79	151	357	176
"2017-04"	73	155	367	164
"2017-05"	68	153	356	165
"2017-06"	77	151	360	173
"2017-07"	83	164	365	166
"2017-08"	87	171	397	173
"2017-09"	81	160	379	160
"2017-10"	94	154	381	161
"2017-11"	92	156	378	156
"2017-12"	83	154	380	163
"2018-01"	83	150	378	153
"2018-02"	77	159	363	147
"2018-03"	78	158	362	163
"2018-04"	80	153	350	160
"2018-05"	79	145	336	153
"2018-06"	77	139	346	142
"2018-07"	77	165	347	144
"2018-08"	73	169	379	134
"2018-09"	84	159	362	132
"2018-10"	76	144	368	137
"2018-11"	65	137	345	142
"2018-12"	64	134	326	144
"2019-01"	61	129	354	151
"2019-02"	54	118	325	157
"2019-03"	50	118	335	158
"2019-04"	49	118	313	153
"2019-05"	47	109	308	148
"2019-06"	51	114	291	139
"2019-07"	52	120	311	138
"2019-08"	56	132	335	143
"2019-09"	54	133	303	128
"2019-10"	59	124	318	132
"2019-11"	59	114	332	126
"2019-12"	60	119	334	132
"2020-01"	69	125	343	145
"2020-02"	63	128	345	149
"2020-03"	67	145	360	160
"2020-04"	69	176	388	186
"2020-05"	67	177	392	193
"2020-06"	78	172	423	194
"2020-07"	74	196	468	207
"2020-08"	72	190	467	229
"2020-09"	65	190	464	219
"2020-10"	69	175	427	226
"2020-11"	68	172	430	218
"2020-12"	66	165	410	208
"2021-01"	63	169	399	210
"2021-02"	68	171	397	207
"2021-03"	72	162	399	198
"2021-04"	65	153	386	188
"2021-05"	72	141	377	185
"2021-06"	74	136	396	177
"2021-07"	66	159	402	181
"2021-08"	70	163	389	175
"2021-09"	65	163	387	166
"2021-10"	66	150	387	157
"2021-11"	63	143	371	157
"2021-12"	63	131	364	154
"2022-01"	73	140	348	153
"2022-02"	66	143	349	158
"2022-03"	68	134	338	153
"2022-04"	69	137	339	143
"2022-05"	67	129	327	138
"2022-06"	63	122	329	127
"2022-07"	55	121	314	132
"2022-08"	64	151	342	128
"2022-09"	61	141	316	127
"2022-10"	68	134	306	129
"2022-11"	67	131	314	124
"2022-12"	68	128	287	119
"2023-01"	63	121	316	125
"2023-02"	63	119	317	135
"2023-03"	62	118	319	133
"2023-04"	62	118	324	135
"2023-05"	62	114	299	126
"2023-06"	61	117	296	129
"2023-07"	61	124	305	128
"2023-08"	62	128	334	124
"2023-09"	63	129	332	127
"2023-10"	63	139	320	128
"2023-11"	64	137	325	137
"2023-12"	61	140	318	132
"2024-01"	75	161	355	146
"2024-02"	73	163	336	160
"2024-03"	66	163	356	162
"2024-04"	61	170	350	163
"2024-05"	56	162	348	163
"2024-06"	57	163	350	166
"2024-07"	65	174	386	175
"2024-08"	73	184	429	198
"2024-09"	75	172	420	198
"2024-10"	84	180	417	196
"2024-11"	86	177	423	202
"2024-12"	95	185	427	220

