Kategorien	  Ja, genutzt	  Ja, nicht genutzt	  Nein, würde genutzt	  Nein, würde nicht genutzt	  Keine Angabe
2009 Total	837	1560	276	179	267
2009 Kein Deutsch	61	199	75	49	83
2009 Deutsch und weitere	180	516	101	69	119
2009 Nur Deutsch	596	845	100	61	65
.					
2013 Total	439	1165	228	174	225
2013 Kein Deutsch	33	130	47	60	59
2013 Deutsch und weitere	113	344	90	56	90
2013 Nur Deutsch	288	681	88	58	75
..					
2017 Total	298	860	223	134	150
2017 Kein Deutsch	29	80	50	43	44
2017 Deutsch und weitere	79	252	81	39	65
2017 Nur Deutsch	187	508	87	50	38
