Kategorien	 Stimmt genau	 Stimmt eher	 Stimmt eher nicht	 Stimmt gar nicht	 Weiss nicht	 Keine Angabe
2009						
2009: Nur Deutsch	97	529	460	173	310	98
2009: Deutsch und weitere	125	276	219	133	174	58
2009: Kein Deutsch	88	119	83	42	98	37
2009: Total	310	924	762	348	582	193
2013						
2013: Nur Deutsch	90.92539	339.51331	276.55329	122.02462	278.02319	47.72353
2013: Deutsch und weitere	119.66944	199.64714	156.74107	55.07344	138.48405	45.97661
2013: Kein Deutsch	70.28469	100.11727	54.03408	26.86070	70.94634	19.05172
2013: Total	285.18109	650.11540	487.32844	205.10820	489.61255	113.65432
2017						
2017: Nur Deutsch	78.64935	260.63548	180.97786	70.42639	188.46659	31.52666
2017: Deutsch und weitere	110.64307	174.80466	113.15556	38.85038	101.17237	22.13016
2017: Kein Deutsch	63.24311	75.84325	35.63526	10.62159	62.59667	12.69090
2017: Total	262.74055	517.56747	336.78215	125.24150	354.88926	67.77908
2022						
2022: Nur Deutsch	67.04073	299.62754	227.31783	68.79839	178.32812	11.64216
2022: Deutsch und weitere	110.79020	235.51792	149.61762	72.60578	121.80131	18.96003
2022: Kein Deutsch	44.18380	64.62679	31.13964	9.90963	57.30295	7.50999
2022: Total	224.46094	599.77225	408.07508	151.31379	357.43239	39.94554
