"Datum"	"Finanz-, Versicherungs-DL"	"Beratung, Planung, Forschung, Immobilien, IT, sonst. DL"
"2013-01"	15	700
"2013-02"	9	721
"2013-03"	18	796
"2013-04"	11	654
"2014-01"	10	727
"2014-02"	14	699
"2014-03"	8	867
"2014-04"	17	768
"2015-01"	24	823
"2015-02"	17	738
"2015-03"	24	806
"2015-04"	14	751
"2016-01"	16	847
"2016-02"	12	789
"2016-03"	12	898
"2016-04"	11	668
"2017-01"	10	1056
"2017-02"	16	842
"2017-03"	13	826
"2017-04"	5	690
"2018-01"	11	1190
"2018-02"	13	943
"2018-03"	17	1095
"2018-04"	12	790
"2019-01"	19	1433
"2019-02"	10	786
"2019-03"	22	821
"2019-04"	21	812
"2020-01"	22	1384
"2020-02"	9	440
"2020-03"	20	633
"2020-04"	11	610
"2021-01"	7	584
"2021-02"	14	458
"2021-03"	13	720
"2021-04"	12	677
"2022-01"	21	935
"2022-02"	9	774
"2022-03"	17	757
"2022-04"	12	893

