Jahr	Inland	Ausland
1935	1.843070210	1.466729663
1936	1.816065743	1.452496727
1937	1.793760906	1.345825310
1938	1.828771290	1.445486354
1939	1.888787330	1.504662638
1940	1.828498178	2.653243308
1941	1.906228692	2.336597063
1942	1.952858846	2.449539247
1943	2.277106799	2.152361255
1944	2.452053445	3.181513118
1945	2.386344834	1.411843792
1946	2.513509115	1.749316035
1947	2.658990569	1.504066992
1948	2.512451942	1.524848933
1949	2.314023541	1.469782017
1950	2.145266741	1.372943425
1951	2.24816554	1.336965641
1952	2.273097397	1.321212149
1953	2.212530268	1.326833446
1954	2.111622715	1.361767624
1955	2.00950429	1.338254403
1956	2.189285256	1.356376424
1957	2.077282426	1.374218472
1958	2.102739498	1.417996303
1959	2.202115819	1.458206247
1960	2.215026039	1.494401053
1961	2.298815896	1.477201967
1962	2.404585216	1.507987937
1963	2.482994414	1.486121187
1964	2.575374106	1.499655934
1965	2.36648788	1.490515202
1966	2.343281235	1.510028891
1967	2.328585635	1.581021192
1968	2.355704135	1.561634085
1969	2.390348384	1.683094192
1970	2.430199141	1.620975949
1971	2.491342294	1.661605822
1972	2.277623173	1.635915698
1973	2.136425865	1.662879465
1974	2.096761758	1.730081055
1975	1.958115711	1.694677653
1976	1.875280687	1.755491445
1977	1.873905684	1.706453436
1978	1.912149177	1.791342312
1979	2.033756393	1.790043047
1980	1.864736524	1.768936659
1981	2.069311622	1.749301175
1982	2.015871351	1.773708639
1983	2.106919043	1.754561315
1984	1.921362788	1.804698447
1985	1.907760138	1.767491799
1986	1.88887042	1.822454527
1987	2.022777056	1.786628582
1988	1.958336991	1.848473444
1989	2.056931595	1.81201661
1990	1.946583545	1.821170873
1991	2.018820339	1.823926133
1992	1.948977121	1.836203798
1993	1.951802602	1.853362403
1994	1.898704344	1.905912999
1995	1.93500237	1.942548183
1996	1.828170689	1.924216076
1997	1.875906212	2.000819756
1998	1.864163768	2.016004854
1999	1.91673982	2.069056784
2000	1.829848189	2.100113866
2001	1.847406467	2.08460499
2002	1.809726107	2.151911147
2003	1.77390877	2.121182519
2004	1.748158551	2.157088078
2005	1.873748514	2.131710499
2006	1.841158857	2.188104681
2007	1.874997294	2.131654528
2008	1.834748286	2.119110366
2009	1.740074583	2.04077801
2010	1.694766631	2.07983848
2011	1.665650357	2.079683644
2012	1.712459977	2.072630083
2013	1.66803787	2.056433824
2014	1.643708597	2.025471024
2015	1.568683765	2.043184106
2016	1.63428245	2.025891575
2017	1.617925338	1.974916746
2018	1.688490323	1.97159699
2019	1.671734473	2.005017261
2020	1.76994339	1.906224731
2021	1.657094783	1.930334234
2022	1.679614142	1.988521115
2023	1.643964250	1.966897795
2024	1.618343294	1.961232534
2025	1.671423889	1.990844935
