Publikationsjahr	Indikator_Nr	jahr_num	jahr_char	Wert	Indikator_Label	Indikator_Name	Wohnviertel_id	Wohnviertel	Rang
2025	1	2024	2024	0.018	Anteil&nbsp;Sozialhilfeempfänger	Sozialhilfequote	1	Altstadt Grossbasel	3
2025	1	2024	2024	0.032	Anteil&nbsp;Sozialhilfeempfänger	Sozialhilfequote	2	Vorstädte	10
2025	1	2024	2024	0.026	Anteil&nbsp;Sozialhilfeempfänger	Sozialhilfequote	3	Am Ring	8
2025	1	2024	2024	0.04	Anteil&nbsp;Sozialhilfeempfänger	Sozialhilfequote	4	Breite	12
2025	1	2024	2024	0.022	Anteil&nbsp;Sozialhilfeempfänger	Sozialhilfequote	5	St. Alban	6
2025	1	2024	2024	0.048	Anteil&nbsp;Sozialhilfeempfänger	Sozialhilfequote	6	Gundeldingen	13
2025	1	2024	2024	0.012	Anteil&nbsp;Sozialhilfeempfänger	Sozialhilfequote	7	Bruderholz	1
2025	1	2024	2024	0.019	Anteil&nbsp;Sozialhilfeempfänger	Sozialhilfequote	8	Bachletten	5
2025	1	2024	2024	0.032	Anteil&nbsp;Sozialhilfeempfänger	Sozialhilfequote	9	Gotthelf	9
2025	1	2024	2024	0.066	Anteil&nbsp;Sozialhilfeempfänger	Sozialhilfequote	10	Iselin	18
2025	1	2024	2024	0.058	Anteil&nbsp;Sozialhilfeempfänger	Sozialhilfequote	11	St. Johann	17
2025	1	2024	2024	0.055	Anteil&nbsp;Sozialhilfeempfänger	Sozialhilfequote	12	Altstadt Kleinbasel	15
2025	1	2024	2024	0.053	Anteil&nbsp;Sozialhilfeempfänger	Sozialhilfequote	13	Clara	14
2025	1	2024	2024	0.019	Anteil&nbsp;Sozialhilfeempfänger	Sozialhilfequote	14	Wettstein	4
2025	1	2024	2024	0.038	Anteil&nbsp;Sozialhilfeempfänger	Sozialhilfequote	15	Hirzbrunnen	11
2025	1	2024	2024	0.058	Anteil&nbsp;Sozialhilfeempfänger	Sozialhilfequote	16	Rosental	16
2025	1	2024	2024	0.077	Anteil&nbsp;Sozialhilfeempfänger	Sozialhilfequote	17	Matthäus	19
2025	1	2024	2024	0.091	Anteil&nbsp;Sozialhilfeempfänger	Sozialhilfequote	18	Klybeck	20
2025	1	2024	2024	0.092	Anteil&nbsp;Sozialhilfeempfänger	Sozialhilfequote	19	Kleinhüningen	21
