"Pers_Alter"	"2001"	"2011"	"2021"
"0"	41.3	42.6	40.2
"1"	44.6	42.1	39.3
"2"	44.8	42.4	41.2
"3"	42.2	40.5	42.9
"4"	45.9	42.3	41.1
"5"	39.1	39.1	43.0
"6"	42.0	39.8	40.3
"7"	41.9	40.2	41.9
"8"	38.8	37.8	42.1
"9"	38.3	38.7	39.3
"10"	37.6	35.7	40.9
"11"	37.4	36.9	37.8
"12"	35.3	34.3	37.4
"13"	34.5	33.2	36.2
"14"	32.4	32.8	35.6
"15"	34.1	29.0	32.6
"16"	35.7	30.9	31.2
"17"	34.3	29.7	32.0
"18"	35.6	26.8	29.6
"19"	34.6	26.4	28.1
"20"	35.0	26.3	26.0
"21"	35.8	28.3	28.0
"22"	31.8	29.3	28.7
"23"	35.1	30.0	30.2
"24"	36.9	35.9	34.3
"25"	39.6	38.9	36.2
"26"	41.9	42.1	39.6
"27"	43.9	44.6	40.2
"28"	42.8	48.4	42.6
"29"	42.9	49.4	43.9
"30"	42.9	52.1	44.9
"31"	40.6	54.4	48.8
"32"	40.2	54.7	50.6
"33"	39.5	57.2	51.7
"34"	39.5	56.9	53.0
"35"	39.4	55.5	53.7
"36"	37.5	55.5	54.6
"37"	37.0	55.1	52.7
"38"	34.5	52.1	53.3
"39"	36.9	51.3	53.6
"40"	35.4	47.1	55.0
"41"	33.6	47.6	55.0
"42"	31.9	44.2	54.4
"43"	31.6	43.1	53.5
"44"	29.8	41.3	52.2
"45"	31.3	40.4	51.3
"46"	30.4	37.1	52.1
"47"	29.1	36.2	50.9
"48"	27.7	34.1	46.9
"49"	28.5	35.2	45.9
"50"	26.0	33.6	43.5
"51"	26.1	32.1	42.8
"52"	27.3	29.9	40.3
"53"	26.5	29.3	40.1
"54"	24.5	28.2	38.1
"55"	23.7	28.7	35.6
"56"	20.4	27.9	33.3
"57"	21.7	26.6	34.0
"58"	20.4	25.5	31.7
"59"	21.3	26.2	32.9
"60"	19.9	23.3	29.8
"61"	23.1	23.7	28.0
"62"	20.8	23.6	25.7
"63"	20.2	23.0	23.7
"64"	17.8	20.9	22.7
"65"	14.6	19.2	23.7
"66"	15.1	16.7	21.9
"67"	13.0	17.5	22.7
"68"	11.6	16.5	21.4
"69"	10.0	17.0	18.6
"70"	8.9	15.5	18.2
"71"	8.4	18.7	18.1
"72"	8.7	16.4	17.4
"73"	6.5	16.8	17.5
"74"	7.1	14.8	16.4
"75"	5.7	12.8	15.6
"76"	5.3	12.8	13.3
"77"	5.1	11.7	13.9
"78"	5.4	10.5	14.5
"79"	3.3	8.3	14.5
"80"	4.9	7.8	13.4
"81"	4.0	6.4	16.3
"82"	4.3	7.7	14.7
"83"	2.4	5.9	14.3
"84"	1.6	5.7	12.8
"85"	2.1	5.1	11.6
"86"	3.0	5.1	11.4
"87"	3.0	4.8	10.1
"88"	2.4	4.6	8.1
"89"	2.8	2.2	6.4
"90"	0.9	4.3	7.3
"91"	3.2	4.2	5.7
"92"	2.2	2.5	7.7
"93"	3.0	2.3	6.7
"94"	3.4	0.5	6.2
"95 u. m."	2.9 2.6 3.3


