"Jahr"	"Schweiz"	"Deutschland"	"Italien"	"Türkei"	"EU-West + EFTA + UK"	"EU-Ost"	"Balkan"	"Übrige Länder"
2011	48.4	67.5	16.0	9.4	30.6	40.0	13.7	24.4
2012	46.9	65.9	12.5	9.7	31.4	17.6	8.9	20.8
2013	46.0	64.3	10.8	8.8	25.8	35.0	12.9	24.0
2014	46.5	55.3	18.6	11.5	30.6	40.9	13.0	29.6
2015	46.8	55.8	20.4	11.4	19.4	36.0	12.0	27.9
2016	49.8	57.4	27.2	13.3	28.4	37.5	14.5	27.3
2017	51.8	68.7	23.2	9.3	32.0	42.1	17.1	33.3
2018	49.5	66.0	22.1	8.8	27.7	37.5	11.9	26.6
2019	47.0	62.4	21.7	10.2	29.1	33.3	10.5	30.8
2020	46.5	59.6	17.6	13.1	27.0	32.1	9.6	27.5

