Jahr	 Schweiz	 Deutschland	 Italien	 Türkei	 EU-West + EFTA + UK	 EU-Ost	 Balkan	 Mittel- u. Südamerika	 Arab. Länder	 Afrikan. Länder	 Übrige Länder
2015	27.5	18.3	34.2	39.8	22.2	22.3	45.7	35.9	10.8	33.9	24.4
2016	28.4	17.7	35.6	37.7	23.8	27.3	48.0	42.7	11.9	34.2	29.8
2017	28.0	17.6	34.0	39.4	25.5	27.3	47.4	44.2	21.7	41.3	29.6
2018	26.6	18.5	30.5	36.0	25.2	29.0	46.5	41.4	35.0	34.9	30.4
2019	25.9	20.6	34.9	43.3	27.0	29.5	48.5	42.9	52.0	38.4	30.5
2020	26.3	15.9	30.0	43.2	24.0	20.4	43.5	51.6	46.4	44.3	24.5
2021	25.8	11.5	36.9	47.7	24.1	22.7	45.0	54.5	36.3	50.5	25.7
2022	25.3	14.6	38.1	50.3	23.3	22.1	50.0	56.9	39.6	45.9	17.4
2023	25.9	13.7	37.8	52.2	23.6	24.0	44.7	52.5	46.7	67.3	15.9
2024	24.8	13.2	37.6	58.6	24.4	19.7	46.4	50.0	35.2	69.5	16.9
