"WohnviertelId"	"Wohnviertel_Name"	"Ausländeranteil 2022 in %"	"Veränderung seit 2003 in Prozentpunkten"
1	"Altstadt GB"	32.4453	12.522
2	"Vorstädte"	43.3704	20.621
3	"Am Ring"	39.6988	13.542
4	"Breite"	36.6925	11.302
5	"St. Alban"	37.8251	17.688
6	"Gundeldingen"	40.7807	1.548
7	"Bruderholz"	24.9208	10.525
8	"Bachletten"	23.4010	8.735
9	"Gotthelf"	30.2074	9.948
10	"Iselin"	39.6086	9.566
11	"St. Johann"	42.6863	1.148
12	"Altstadt KB"	40.0000	13.915
13	"Clara"	49.2571	6.249
14	"Wettstein"	33.8055	11.849
15	"Hirzbrunnen"	26.3887	8.797
16	"Rosental"	57.2170	6.250
17	"Matthäus"	50.2860	0.379
18	"Klybeck"	53.2744	3.069
19	"Kleinhüningen"	49.5166	5.747
20	"Riehen"	28.9944	13.577
30	"Bettingen"	25.3414	6.306

