"Jahr"	"Schweiz"	"Deutschland"	"Italien"	"Türkei"	"EU-West + EFTA + UK"	"EU-Ost"	"Balkan"	"Mittel- u. Südamerika"	"Arabische Länder"	"Afrikanische Länder"	"Übrige Länder"
"2014"	2.7	2.7	4.4	8.7	3.7	4.1	7.6	5.5	6.3	6.0	2.8
"2015"	2.8	3.0	4.3	8.7	4.3	5.0	8.1	6.1	6.4	7.4	3.1
"2016"	2.9	3.2	4.9	9.3	4.6	6.7	7.7	6.6	6.7	7.4	3.4
"2017"	2.9	3.0	5.0	8.8	4.5	6.4	7.6	6.0	6.8	7.0	3.3
"2018"	2.6	2.8	5.2	7.2	4.2	5.4	6.5	5.6	6.4	8.3	2.9
"2019"	2.3	2.7	4.4	6.2	3.8	4.7	7.2	3.2	4.9	5.7	2.6
"2020"	3.0	3.7	5.6	7.7	4.9	5.8	9.0	4.6	5.8	7.1	3.2
"2021"	2.9	3.5	5.5	8.2	4.6	6.3	9.4	5.0	7.7	6.1	3.3
"2022"	2.2	2.4	4.4	7.0	3.8	4.4	7.6	4.6	6.8	4.7	3.6
"2023"	2.1	2.6	4.2	6.4	4.5	5.4	5.9	4.5	7.5	5.9	4.2
"2024"	2.6	3.2	5.6	6.9	5.4	6.6	6.7	5.2	9.7	8.1	6.8

