"Jahr"	"Schweiz"	"Deutschland"	"Italien"	"Türkei"	"EU-West + EFTA + UK"	"EU-Ost"	"Balkan"	"Mittel- und Südamerika"	"Arabische Länder"	"Afrikanische Länder"	"Übrige Länder"
"2004"	8.9	2.3	16.8	14.1	7.1	7.0	13.9	1.6	4.2	2.1	1.5
"2005"	9.0	2.1	16.8	14.6	7.1	7.8	14.3	1.7	4.6	2.3	1.6
"2006"	9.0	1.8	16.5	15.0	6.7	7.2	14.4	1.8	3.6	2.4	1.6
"2007"	9.0	1.6	16.0	16.1	6.5	6.9	15.3	1.9	3.3	2.6	1.6
"2008"	8.9	1.4	15.7	17.0	6.1	6.7	16.2	2.0	3.6	2.6	1.8
"2009"	9.3	1.2	13.9	14.2	5.3	6.1	13.7	1.5	2.8	1.6	1.3
"2010"	9.1	1.2	13.4	13.7	5.2	6.1	13.6	1.6	2.7	1.7	1.3
"2011"	9.1	1.2	12.9	13.6	4.7	5.4	13.2	1.7	2.9	1.6	1.2
"2012"	8.7	1.2	12.2	13.2	4.3	4.6	12.8	1.4	2.9	1.8	1.1
"2013"	8.5	1.3	10.8	12.6	3.8	4.0	12.2	1.5	2.9	1.7	1.1
"2014"	8.3	1.3	10.0	12.2	3.6	3.7	11.7	1.6	2.6	1.5	1.1
"2015"	8.1	1.3	9.2	12.0	3.3	3.1	11.4	1.6	2.7	1.6	1.1
"2016"	8.0	1.3	8.6	12.0	3.1	2.9	10.6	1.4	2.7	1.6	1.1
"2017"	8.0	1.4	8.2	11.8	2.9	2.6	10.2	1.6	2.2	1.6	1.1
"2018"	7.9	1.4	7.9	11.6	2.7	2.3	9.6	1.6	2.3	1.9	1.1
"2019"	7.9	1.5	7.8	11.7	2.8	2.3	9.7	1.7	2.5	2.5	1.1
"2020"	7.6	1.5	7.4	11.7	2.6	2.2	9.4	1.8	2.3	2.2	1.1
"2021"	7.6	1.6	7.0	11.7	2.7	2.3	9.6	1.8	2.6	2.6	1.1
"2022"	7.6	1.7	6.6	11.6	2.6	2.1	9.0	2.0	2.5	2.8	1.0
"2023"	7.3	1.7	6.4	11.4	2.4	2.2	8.7	1.9	2.3	2.9	1.0
"2024"	7.3	1.8	6.2	11.1	2.3	2.3	8.4	1.9	2.4	3.1	0.9

